Close	Date	Sentiment_fin_V	Sentiment_fin_F2	Open
2690.159912	2017-12-18	-0.025	-0.1125	2685.919922
2681.469971	2017-12-19	-0.25	-0.15	2692.709961
2679.25	2017-12-20	0	-0.15	2688.179932
2684.570068	2017-12-21	0.05	0.05	2683.02002
2683.340088	2017-12-22	-0.05	0.05	2684.219971
2680.5	2017-12-26	0.025	0	2679.090088
2682.620117	2017-12-27	0.025	0	2682.100098
2687.540039	2017-12-28	0.1	-0.05	2686.100098
2673.610107	2017-12-29	0.1	0.025	2689.149902
2695.810059	2018-01-02	0.03333333333	0.01666666667	2683.72998
2713.060059	2018-01-03	0.1	0.05	2697.850098
2723.98999	2018-01-04	0.1	-0.25	2719.310059
2743.149902	2018-01-05	-0.15	0.05	2731.330078
2747.709961	2018-01-08	-0.05	-0.125	2742.669922
2751.290039	2018-01-09	-0.2	-0.15	2751.149902
2748.22998	2018-01-10	-0.075	-0.175	2745.550049
2767.560059	2018-01-11	-0.15	-0.15	2752.969971
2786.23999	2018-01-12	-0.15	0.1	2770.179932
2776.419922	2018-01-16	-0.2666666667	-0.125	2798.959961
2802.560059	2018-01-17	-0.275	-0.1	2784.98999
2798.030029	2018-01-18	-0.125	-0.2	2802.399902
2810.300049	2018-01-19	0.15	-0.05	2802.600098
2832.969971	2018-01-22	-0.1	-0.125	2809.159912
2839.129883	2018-01-23	0.025	-0.15	2835.050049
2837.540039	2018-01-24	-0.05	-0.35	2845.419922
2839.25	2018-01-25	0	0.05	2846.23999
2872.870117	2018-01-26	-0.15	-0.175	2847.47998
2853.530029	2018-01-29	-0.05	-0.1	2867.22998
2822.429932	2018-01-30	-0.125	-0.175	2832.73999
2823.810059	2018-01-31	0.05	-0.1	2832.409912
2821.97998	2018-02-01	-0.05	-0.025	2816.449951
2762.129883	2018-02-02	-0.075	-0.0125	2808.919922
2648.939941	2018-02-05	-0.03333333333	-0.08333333333	2741.060059
2695.139893	2018-02-06	-0.125	-0.15	2614.780029
2681.659912	2018-02-07	-0.15	-0.3	2690.949951
2581	2018-02-08	0	-0.05	2685.01001
2619.550049	2018-02-09	-0.3	-0.45	2601.780029
2656	2018-02-12	-0.1125	-0.2625	2636.75
2662.939941	2018-02-13	-0.1	-0.2125	2646.27002
2698.629883	2018-02-14	-0.175	-0.25	2651.209961
2731.199951	2018-02-15	-0.1125	-0.2625	2713.459961
2732.219971	2018-02-16	-0.05	-0.275	2727.139893
2716.26001	2018-02-20	-0.05	-0.175	2722.98999
2701.330078	2018-02-21	-0.3	-0.15	2720.530029
2703.959961	2018-02-22	-0.2	-0.325	2710.419922
2747.300049	2018-02-23	0.1	0	2715.800049
2779.600098	2018-02-26	-0.05	-0.275	2757.370117
2744.280029	2018-02-27	0.075	-0.15	2780.449951
2713.830078	2018-02-28	0.25	-0.1	2753.780029
2677.669922	2018-03-01	-0.1111111111	-0.03703703704	2715.219971
2691.25	2018-03-02	-0.03846153846	-0.1153846154	2658.889893
2720.939941	2018-03-05	-0.05769230769	-0.108974359	2681.060059
2728.120117	2018-03-06	0	-0.1666666667	2730.179932
2726.800049	2018-03-07	-0.1666666667	-0.1458333333	2710.179932
2738.969971	2018-03-08	0	-0.04	2732.75
2786.570068	2018-03-09	-0.2	-0.2	2752.909912
2783.02002	2018-03-12	-0.212037037	-0.08148148148	2790.540039
2765.310059	2018-03-13	-0.1304347826	-0.2173913043	2792.310059
2749.47998	2018-03-14	0.12	-0.04	2774.060059
2747.330078	2018-03-15	-0.07407407407	-0.2962962963	2754.27002
2752.01001	2018-03-16	-0.03846153846	-0.2692307692	2750.570068
2712.919922	2018-03-19	0.025	-0.1305555556	2741.379883
2716.939941	2018-03-20	-0.02469135802	-0.04938271605	2715.050049
2711.929932	2018-03-21	-0.01149425287	-0.06896551724	2714.98999
2643.689941	2018-03-22	-0.02	-0.08	2691.360107
2588.26001	2018-03-23	0.0253164557	-0.1392405063	2646.709961
2658.550049	2018-03-26	-0.06652711324	-0.1163476874	2619.350098
2612.620117	2018-03-27	0	-0.1609195402	2667.570068
2605	2018-03-28	0.05882352941	0	2611.300049
2640.870117	2018-03-29	-0.1445783133	-0.0843373494	2614.409912
2581.879883	2018-04-02	-0.0654247623	-0.2900217032	2633.449951
2614.449951	2018-04-03	-0.01265822785	0.0253164557	2592.169922
